Unnamed: 0,review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes
317308,Seamless.,5,101013*********303637,A Google user,5.113.1,2020-09-12T03:32:35.000Z,0
300195,Apps easy to use...,5,103589*********014384,A Google user,5.97.0,2020-05-21T18:18:08.000Z,0
14299,Order grab taxi tau2 driver minta cancel. ditanya knp harus cancel tp alasannya ga jelas. ga profesional bgt sih !!,1,105881*********663929,A Google user,v4.0.4,2016-04-15T12:51:27.000Z,2
108132,i cant create the account to use this app..please fix it!!!,1,110492*********189898,A Google user,4.32.1,2018-08-30T00:58:15.000Z,0
169122,"ga tau salah apa ga bisa login dan suruh hubungin pusat,makin hari mqkin jelek grab ini. lebih baik gojek banyak promo juga,batal dikit ga kena suspen custnya.",1,117574*********101453,A Google user,,2019-05-31T23:48:20.000Z,0
201313,Need improvement,5,111486*********788949,A Google user,,2019-07-17T17:59:40.000Z,0
431733,Fast Delivery and Food are packed properly.. Food taste good,5,106075*********285429,A Google user,5.258.0,2023-06-30T04:53:00.000Z,2
180191,very convinient,5,108121*********769476,A Google user,5.49.0,2019-06-19T02:37:38.000Z,0
321795,Good,5,108941*********276474,A Google user,5.103.0,2020-10-19T10:57:27.000Z,0
404306,It's good so far. Hoping pwd services such as ordering food too can be experienced here.,4,112352*********153399,A Google user,5.211.0,2022-07-28T08:40:31.000Z,0
45818,PERFECT,5,105735*********493083,A Google user,4.23.0,2017-04-02T16:28:23.000Z,0
208815,OK,1,102445*********931330,A Google user,5.43.0,2019-07-31T03:30:45.000Z,0
394855,Ang bagal po nang service.ninyo... abot na mahigit 30 minuts kaka book..walang mg aacept nanng booking ang aarte nang driver.,2,116230*********253888,A Google user,5.199.0,2022-05-05T04:23:37.000Z,0
122245,App ngu. Otp nhập đúng rồi cứ báo sai. Đợi gần hết 30s mới nhận đc sms otp. Ko thể đăng ký hay đăng nhập đc.,1,103555*********589443,A Google user,5.20.0,2018-11-24T07:45:05.000Z,0
173151,Good job,5,109204*********717634,A Google user,,2019-06-09T02:18:22.000Z,0
342648,Why grab mostly need update ?,2,117228*********897510,A Google user,5.121.0,2021-03-25T03:41:31.000Z,0
309926,Nice app,5,100190*********906390,A Google user,5.107.0,2020-08-03T02:14:54.000Z,0
403014,Very responsible and friendly drive who have given us clear briefing on Grab's service.,5,112050*********224735,A Google user,5.209.0,2022-07-15T02:34:53.000Z,0
281024,hm lately its so expensive...,2,104927*********020664,A Google user,5.79.0,2020-01-22T23:48:30.000Z,0
15449,"Hr ini bawa barang Agak banyak, and driver no complain,,,nice work guys",5,116396*********601565,A Google user,4.2.1,2016-05-02T13:47:00.000Z,2
160009,definitely helpful,5,110928*********022288,A Google user,5.43.0,2019-05-20T06:00:45.000Z,0
405867,such a nice nd friendly person,5,105394*********671601,A Google user,5.211.0,2022-08-11T13:14:30.000Z,0
877,B R I L L I A N T.....thats all i can say.,5,105764*********610365,A Google user,v2.5.5,2014-06-27T15:04:37.000Z,0
140708,ok,5,109933*********657528,A Google user,5.36.3,2019-03-23T14:01:33.000Z,0
232608,Excellent,5,103920*********605010,A Google user,5.55.1,2019-09-15T00:16:17.000Z,0
